,Fuel Type Code,City,State,ZIP,Groups With Access Code,Latitude,Longitude
3233,ELEC,Dallas,TX,75237,Public - Call ahead,32.646784,-96.863492
3522,ELEC,Dallas,TX,75201,Private,32.779791,-96.7990454
5033,ELEC,Dallas,TX,75253,Private,32.653718,-96.628439
5034,ELEC,Dallas,TX,75203,Private,32.74458,-96.781018
5417,ELEC,Dallas,TX,75237,Private,32.646784,-96.863492
5676,ELEC,Dallas,TX,75218,Private,32.84368515,-96.69669
5718,ELEC,Dallas,TX,75211,Private,32.72068405,-96.93279
7243,ELEC,Dallas,TX,75209,TEMPORARILY UNAVAILABLE (Public),32.834169,-96.829381
13737,ELEC,Dallas,TX,75219,Public,32.807928,-96.807586
13829,ELEC,Dallas,TX,75235,Public,32.843451,-96.84941
13830,ELEC,Dallas,TX,75235,Public,32.841325,-96.847504
14061,ELEC,Dallas,TX,75254,Public,32.953741,-96.81993
14182,ELEC,Dallas,TX,75243,TEMPORARILY UNAVAILABLE (Public),32.904398,-96.749733
14253,ELEC,Dallas,TX,75208,Public,32.748761,-96.826846
15355,ELEC,Dallas,TX,75231,Public,32.881141,-96.76952
15976,ELEC,Dallas,TX,75240,TEMPORARILY UNAVAILABLE (Public),32.930033,-96.823441
16139,ELEC,Dallas,TX,75235,TEMPORARILY UNAVAILABLE (Public),32.82968,-96.831671
16140,ELEC,Dallas,TX,75235,Public,32.825071,-96.822888
18967,ELEC,Dallas,TX,75231,Public,32.887235,-96.769384
18968,ELEC,Dallas,TX,75234,Public,32.918521,-96.897054
18969,ELEC,Dallas,TX,75215,Public,32.767566,-96.796303
18970,ELEC,Dallas,TX,75201,Public,32.786084,-96.801995
18971,ELEC,Dallas,TX,75201,Public,32.792433,-96.803742
18972,ELEC,Dallas,TX,75235,Public,32.826209,-96.847188
18973,ELEC,Dallas,TX,75207,Public,32.775772706269336,-96.8092795370178
18974,ELEC,Dallas,TX,75211,Public,32.765875,-96.876091
18975,ELEC,Dallas,TX,75248,Public,32.926698,-96.824415
18976,ELEC,Dallas,TX,75218,Public,32.775161,-96.803898
18977,ELEC,Dallas,TX,75240,Public,32.926755,-96.801658
18978,ELEC,Dallas,TX,75201,Public,32.786678,-96.795531
18979,ELEC,Dallas,TX,75214,Public,32.810253,-96.729128
18980,ELEC,Dallas,TX,75231,Public,32.880479,-96.769066
18981,ELEC,Dallas,TX,75205,Public,32.836217,-96.806812
19613,ELEC,Dallas,TX,75202,Public,32.786912,-96.806618
19614,ELEC,Dallas,TX,75235,Public,32.809191,-96.837838
19615,ELEC,Dallas,TX,75207,Private,32.806816,-96.836049
20247,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.786863,-96.798967
21354,ELEC,Dallas,TX,75201,Public,32.789586,-96.806265
21355,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.789128,-96.806816
21388,ELEC,Dallas,TX,75218,Public,32.846084,-96.711979
21629,ELEC,Dallas,TX,75254,TEMPORARILY UNAVAILABLE (Public),32.94605,-96.82465
21862,ELEC,Dallas,TX,75201,Public,32.787591,-96.799428
22010,ELEC,Dallas,TX,75201,Public,32.797459,-96.811706
22797,ELEC,Dallas,TX,75240,Public,32.930157,-96.818688
23287,ELEC,Dallas,TX,75248,TEMPORARILY UNAVAILABLE (Public),32.9651005,-96.8199773
23288,ELEC,Dallas,TX,85248,TEMPORARILY UNAVAILABLE (Public),32.9621342,-96.8171805
23293,ELEC,Dallas,TX,25230,TEMPORARILY UNAVAILABLE (Public),32.8961547,-96.8022961
23306,ELEC,Dallas,TX,75204,Public,32.8167932,-96.791941
23312,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.7946052,-96.8069335
23315,ELEC,Dallas,TX,75226,TEMPORARILY UNAVAILABLE (Public),32.7775987,-96.7857078
23316,ELEC,Dallas,TX,75207,Public,32.7753462,-96.8089502
24350,ELEC,Dallas,TX,75246,Public,32.79365,-96.778059
24608,ELEC,Dallas,TX,75234,Public,32.910789,-96.873885
24883,ELEC,Dallas,TX,75202,Private,32.786667,-96.803696
25480,ELEC,Dallas,TX,75254,Public,32.9435587,-96.8229379
25724,ELEC,Dallas,TX,75202,TEMPORARILY UNAVAILABLE (Public),32.780895,-96.808846
25859,ELEC,Dallas,TX,75201,Public,32.790657,-96.802991
26078,ELEC,Dallas,TX,75254,Public,32.95072,-96.820052
29859,ELEC,Dallas,TX,75235,Public,32.843762,-96.84762
29884,ELEC,Dallas,TX,75240,Public,32.928767,-96.817572
29885,ELEC,Dallas,TX,75204,Public,32.79667,-96.790059
29888,ELEC,Dallas,TX,75206,Public,32.842011,-96.763267
29902,ELEC,Dallas,TX,75201,Public,32.79173,-96.809079
29912,ELEC,Dallas,TX,75201,Public,32.801969,-96.805013
29914,ELEC,Dallas,TX,75204,Public,32.802011,-96.805087
29916,ELEC,Dallas,TX,75201,Public,32.791369,-96.804575
29927,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.795284,-96.801699
29940,ELEC,Dallas,TX,75219,Public,32.788231,-96.811243
29954,ELEC,Dallas,TX,75251,TEMPORARILY UNAVAILABLE (Public),32.914399,-96.77507
29964,ELEC,Dallas,TX,75201,Public,32.775937,-96.795978
29970,ELEC,Dallas,TX,75201,Public,32.797239,-96.813922
29985,ELEC,Dallas,TX,75202,Public,32.784572,-96.802211
29995,ELEC,Dallas,TX,75219,Public,32.807955,-96.816364
30003,ELEC,Dallas,TX,75209,TEMPORARILY UNAVAILABLE (Public),32.834405,-96.82848
30007,ELEC,Dallas,TX,75223,Public,32.781982,-96.801969
30012,ELEC,Dallas,TX,75254,TEMPORARILY UNAVAILABLE (Public),32.953364,-96.820685
30151,ELEC,Dallas,TX,75201,Public,32.77695,-96.7917
31995,ELEC,Dallas,TX,75231,Public,32.892213,-96.766545
32077,ELEC,Dallas,TX,75201,Public,32.790337,-96.799621
32078,ELEC,Dallas,TX,75201,Public,32.790485,-96.799487
32169,ELEC,Dallas,TX,75204,Public,32.789207,-96.789406
32202,ELEC,Dallas,TX,75209,Public,32.823774,-96.81978
32382,ELEC,Dallas,TX,75287,Public,32.999763,-96.822931
32631,ELEC,Dallas,TX,75235,Public,32.809191,-96.837838
32633,ELEC,Dallas,TX,75207,Public,32.779257,-96.812383
32646,ELEC,Dallas,TX,75201,Public,32.781665,-96.791743
32667,ELEC,Dallas,TX,75201,Public,32.785896,-96.794768
32668,ELEC,Dallas,TX,75211,Public,32.729056,-96.900413
32939,ELEC,Dallas,TX,75235,Public,32.837405,-96.868353
32988,ELEC,Dallas,TX,75235,Public,32.829916,-96.84296
33207,ELEC,Dallas,TX,75235,Public,32.842029,-96.848096
33249,ELEC,Dallas,TX,75201,Public,32.787218,-96.797536
34811,ELEC,Dallas,TX,75209,Public,32.834384,-96.828515
35648,ELEC,Dallas,TX,75235,Public,32.843425,-96.8494
35649,ELEC,Dallas,TX,75235,Public,32.843292,-96.849226
35650,ELEC,Dallas,TX,75235,Public,32.843432,-96.849392
36201,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.787137,-96.798721
36202,ELEC,Dallas,TX,75201,TEMPORARILY UNAVAILABLE (Public),32.786877,-96.798746
36339,ELEC,Dallas,TX,75201,Public,32.789545,-96.80631
36340,ELEC,Dallas,TX,75201,Public,32.789563,-96.80627
36341,ELEC,Dallas,TX,75201,Public,32.78914,-96.806769
36342,ELEC,Dallas,TX,75201,Public,32.789123,-96.806792
36524,ELEC,Dallas,TX,75201,Public,32.797466,-96.811703
37237,ELEC,Dallas,TX,75202,TEMPORARILY UNAVAILABLE (Public),32.780907,-96.808815
