,City,Audi A3 Plug In,Audi A7 Plug In,Audi A8 Plug In,Audi e-tron,Audi e-tron GT,Audi e-tron Sportback,Audi Q5 Plug In,Azure Transit Connect,Bentley Bentayga,BMW 3-Series Plug in,BMW 5-Series Plug in,BMW 7-Series Plug in,BMW i3,BMW i3 REx,BMW i8,BMW X3,BMW X5,Cadillac CT6,Cadillac ELR,Chevrolet Bolt EUV,Chevrolet Bolt EV,Chevrolet Spark,Chevrolet Volt,Chrysler Pacifica,Coda EV,E-Ride EXV,Ferrari SF90 Stradale,Fiat 500e,Fisker Karma,Ford C-Max Energi,Ford Escape Plug-in Hybrid,Ford Focus EV,Ford Fusion Energi,Ford Mustang Mach-E,Ford Ranger,Ford Think Neighbor,GEM NEV,Honda Accord Plug In,Honda Clarity Plug In,Hyundai Ioniq EV,Hyundai Ioniq Plug In,Hyundai Kona Electric,Hyundai Sonata Plug In,Jaguar I-Pace,Jeep Wrangler Plug In,Karma Revero,Kia Niro EV,Kia Niro Plug In,Kia Optima Plug In,Kia Soul EV,Land Rover Range Rover Plug In,Lincoln Aviator Plug In,Mclaren P1,Mercedes B-Class Electric,Mercedes C350e Plug In,Mercedes GLC 350e Hybrid,Mercedes GLE55e,Mercedes S550e,Mercedes S560e,Miles ZX40ST,Mini Countryman Plug In,Mini Hardtop 2 Door EV,Mitsubishi i,Mitsubishi Outlander Plug In,New Flyer Xcelsior CHARGE,Nissan Leaf,Polestar 2,Porsche 918 Spyder,Porsche Cayenne S E-Hybrid,Porsche Panamera S E-Hybrid,Porsche Taycan,Smart forTwo EV,Smart forTwo EV Cabrio,Subaru Crosstrek Hybrid,Tesla Model 3,Tesla Model S,Tesla Model X,Tesla Model Y,Tesla Roadster,Toyota Prius Plug-in,Toyota Prius Prime,Toyota RAV4 EV,Toyota RAV4 Prime,Volkswagen e-Golf,Volkswagen ID.4,Volvo S60 Plug In,Volvo S90 Plug In,Volvo V60 Plug In,Volvo XC40 Recharge,Volvo XC60 Plug In,Volvo XC90 Plug In,Wheego Life,Workhorse E-GEN Van,Grand Total,Hyundai Santa Fe Plug In,Hyundai Tucson Plug In,Kia Sorrento Plug In,Lincoln Corsair,Lucid Air,Mercedes EQS,Rivian R1T,Bentley Bentayga Hybrid,BMW i4,BMW iX,Ford E-Transit,Ford F-150 Lightning,Hummer Hummer EV SUT,Hyundai Ioniq 5,Jeep Wrangler 4xe,Kia EV6,Smith EV,Volvo C40 Recharge,Bentley Flying Spur Hybrid,Genesis GV60 EV,Honda Clarity BEV,Lexus NX 450h+,Rivian EDV,Subaru Solterra
253,DALLAS,25.0,5.0,,100.0,3.0,33.0,50.0,,1.0,37.0,70.0,5.0,71.0,85.0,39.0,39.0,85.0,6.0,9.0,5.0,131.0,5.0,227.0,76.0,,,2.0,61.0,5.0,42.0,,5.0,85.0,32.0,,,12.0,3.0,37.0,1.0,1.0,4.0,5.0,12.0,59.0,,14.0,14.0,1.0,10.0,8.0,13.0,2.0,7.0,8.0,9.0,3.0,3.0,,,11.0,8.0,4.0,18.0,,194.0,1.0,4.0,104.0,53.0,131.0,23.0,7.0,,1794.0,1430.0,551.0,591.0,4.0,25.0,95.0,3.0,16.0,10.0,33.0,2.0,11.0,,16.0,42.0,64.0,,17.0,6827,,,,,,,,,,,,,,,,,,,,,,,,
262,DALLAS,24.0,5.0,1.0,103.0,3.0,34.0,52.0,,1.0,42.0,77.0,5.0,75.0,85.0,41.0,40.0,89.0,6.0,10.0,5.0,130.0,5.0,227.0,79.0,,,3.0,59.0,6.0,43.0,1.0,5.0,84.0,39.0,,,12.0,3.0,38.0,1.0,1.0,4.0,5.0,11.0,72.0,1.0,14.0,15.0,1.0,10.0,8.0,13.0,2.0,7.0,9.0,11.0,3.0,3.0,,,11.0,8.0,4.0,20.0,,202.0,3.0,4.0,108.0,55.0,137.0,14.0,2.0,,1856.0,1453.0,550.0,632.0,4.0,26.0,96.0,3.0,18.0,10.0,36.0,6.0,10.0,,20.0,44.0,69.0,,17.0,7041,,,,,,,,,,,,,,,,,,,,,,,,
276,DALLAS,25.0,6.0,1.0,106.0,20.0,39.0,47.0,,1.0,50.0,90.0,5.0,81.0,84.0,38.0,34.0,98.0,6.0,10.0,5.0,132.0,6.0,239.0,86.0,,,3.0,57.0,6.0,41.0,2.0,5.0,82.0,61.0,,,11.0,3.0,44.0,1.0,2.0,5.0,7.0,12.0,124.0,2.0,23.0,14.0,4.0,10.0,5.0,17.0,1.0,7.0,9.0,13.0,4.0,4.0,,,12.0,9.0,3.0,18.0,,208.0,20.0,4.0,108.0,62.0,156.0,16.0,2.0,1.0,2148.0,1559.0,549.0,830.0,5.0,27.0,104.0,2.0,34.0,11.0,45.0,7.0,10.0,,32.0,45.0,76.0,,17.0,7915,,,3.0,,,3.0,1.0,,,,,,,,,,,,,,,,,
296,DALLAS,24.0,6.0,1.0,129.0,29.0,44.0,70.0,,,52.0,96.0,6.0,92.0,81.0,37.0,24.0,107.0,5.0,9.0,11.0,126.0,5.0,240.0,113.0,,,5.0,58.0,5.0,39.0,6.0,3.0,80.0,100.0,,,9.0,3.0,48.0,1.0,3.0,6.0,6.0,25.0,,2.0,27.0,20.0,6.0,11.0,4.0,18.0,1.0,6.0,10.0,14.0,4.0,5.0,,,11.0,16.0,3.0,15.0,,208.0,49.0,3.0,113.0,68.0,173.0,22.0,2.0,1.0,2370.0,1549.0,604.0,1072.0,3.0,25.0,117.0,2.0,43.0,14.0,53.0,8.0,9.0,,42.0,49.0,96.0,,14.0,8932,3.0,,8.0,8.0,10.0,24.0,12.0,3.0,6.0,4.0,11.0,,2.0,12.0,221.0,13.0,,9.0,,,,,,
274,DALLAS,25.0,6.0,1.0,102.0,14.0,38.0,48.0,,1.0,48.0,88.0,5.0,80.0,85.0,40.0,35.0,95.0,6.0,10.0,5.0,133.0,6.0,239.0,86.0,,,3.0,59.0,6.0,41.0,2.0,5.0,83.0,57.0,,,11.0,3.0,44.0,1.0,2.0,5.0,7.0,13.0,116.0,1.0,22.0,12.0,4.0,10.0,7.0,15.0,1.0,7.0,9.0,13.0,4.0,4.0,,,12.0,9.0,3.0,18.0,,205.0,18.0,4.0,108.0,61.0,148.0,16.0,2.0,1.0,2123.0,1526.0,549.0,799.0,5.0,27.0,100.0,3.0,30.0,11.0,43.0,7.0,10.0,,31.0,45.0,74.0,,17.0,7770,,,2.0,,,,,,,,,,,,,,,,,,,,,
299,DALLAS,26.0,5.0,2.0,135.0,29.0,43.0,69.0,,,55.0,97.0,4.0,90.0,80.0,37.0,26.0,113.0,5.0,9.0,15.0,123.0,4.0,238.0,113.0,,,5.0,56.0,5.0,37.0,7.0,3.0,80.0,105.0,,,9.0,3.0,48.0,1.0,3.0,7.0,6.0,25.0,,2.0,27.0,21.0,6.0,11.0,4.0,18.0,1.0,6.0,10.0,15.0,4.0,5.0,,,10.0,16.0,3.0,13.0,,208.0,58.0,3.0,116.0,68.0,176.0,24.0,2.0,1.0,2467.0,1558.0,612.0,1149.0,3.0,25.0,121.0,2.0,45.0,14.0,53.0,8.0,9.0,,41.0,50.0,96.0,,14.0,9216,3.0,,11.0,8.0,11.0,28.0,21.0,3.0,7.0,6.0,21.0,4.0,5.0,17.0,236.0,13.0,,9.0,,,,,,
262,DALLAS,24.0,5.0,1.0,103.0,3.0,34.0,52.0,,1.0,42.0,77.0,5.0,75.0,85.0,41.0,40.0,89.0,6.0,10.0,5.0,130.0,5.0,227.0,79.0,,,3.0,59.0,6.0,43.0,1.0,5.0,84.0,39.0,,,12.0,3.0,38.0,1.0,1.0,4.0,5.0,11.0,72.0,1.0,14.0,15.0,1.0,10.0,8.0,13.0,2.0,7.0,9.0,11.0,3.0,3.0,,,11.0,8.0,4.0,20.0,,202.0,3.0,4.0,108.0,55.0,137.0,14.0,2.0,,1856.0,1453.0,550.0,632.0,4.0,26.0,96.0,3.0,18.0,10.0,36.0,6.0,10.0,,20.0,44.0,69.0,,17.0,7041,,,,,,,,,,,,,,,,,,,,,,,,
290,DALLAS,26.0,6.0,1.0,113.0,24.0,43.0,44.0,,3.0,52.0,95.0,6.0,85.0,83.0,38.0,31.0,103.0,6.0,10.0,5.0,133.0,6.0,246.0,97.0,,,4.0,59.0,5.0,44.0,3.0,5.0,77.0,69.0,,,9.0,3.0,45.0,1.0,3.0,5.0,7.0,14.0,154.0,2.0,26.0,13.0,5.0,12.0,6.0,17.0,1.0,6.0,10.0,13.0,4.0,4.0,,,12.0,13.0,3.0,18.0,,212.0,29.0,4.0,108.0,65.0,160.0,16.0,2.0,1.0,2227.0,1578.0,566.0,940.0,5.0,26.0,110.0,2.0,44.0,13.0,51.0,8.0,10.0,,37.0,46.0,77.0,,15.0,8318,1.0,,7.0,6.0,2.0,11.0,2.0,,,,,,,3.0,,4.0,,2.0,,,,,,
269,DALLAS,24.0,6.0,1.0,102.0,8.0,34.0,49.0,,1.0,44.0,83.0,5.0,80.0,87.0,41.0,38.0,92.0,6.0,10.0,5.0,134.0,6.0,239.0,83.0,,,3.0,61.0,6.0,42.0,2.0,5.0,85.0,52.0,,,12.0,3.0,44.0,1.0,2.0,5.0,6.0,13.0,103.0,1.0,19.0,12.0,3.0,11.0,7.0,15.0,2.0,7.0,9.0,13.0,4.0,4.0,,,12.0,9.0,3.0,19.0,,202.0,9.0,4.0,107.0,59.0,145.0,15.0,2.0,,2043.0,1510.0,554.0,730.0,4.0,26.0,99.0,3.0,27.0,11.0,37.0,7.0,10.0,,26.0,44.0,71.0,,17.0,7536,,,1.0,,,,,,,,,,,,,,,,,,,,,
303,DALLAS,26.0,5.0,2.0,136.0,30.0,42.0,68.0,,,62.0,99.0,4.0,89.0,82.0,38.0,26.0,118.0,5.0,9.0,20.0,125.0,4.0,242.0,108.0,,,5.0,56.0,5.0,37.0,7.0,4.0,83.0,117.0,1.0,,9.0,3.0,48.0,1.0,3.0,7.0,6.0,27.0,,2.0,26.0,23.0,5.0,10.0,5.0,19.0,1.0,5.0,10.0,15.0,4.0,5.0,,,8.0,16.0,3.0,13.0,,206.0,61.0,3.0,128.0,71.0,185.0,26.0,2.0,1.0,2501.0,1569.0,622.0,1190.0,3.0,24.0,121.0,2.0,49.0,14.0,59.0,9.0,9.0,,44.0,52.0,98.0,,14.0,9494,3.0,2.0,11.0,8.0,14.0,29.0,29.0,3.0,17.0,7.0,23.0,12.0,5.0,18.0,260.0,17.0,,10.0,3.0,,,31.0,,
