,Zip Code,Current Population,Average House Value ($),Average Income Per Household  ($),White Population,Black Population,Hispanic Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Male Population,Female Population,# Residential Mailboxes,# Business Mailboxes,Number of Businesses,# Residential/Business Mailbox Ratio
0,75201,18460,630100,94872,7102,1627,1043,445,110,16,328,5070,4339,12473,2153,2455,5
1,75202,2931,269200,92500,1293,278,255,64,31,4,55,927,739,2050,658,585,3
2,75203,18211,108600,37418,4934,5586,9359,76,236,40,5344,8186,7535,6390,545,245,11
3,75204,45140,378600,81914,17791,3775,7292,1745,323,44,3358,13656,12623,25648,1232,1383,20
4,75205,26531,1212700,159076,21497,384,1385,937,163,14,444,10981,12080,11586,865,1101,13
5,75206,47359,433100,75569,27808,2432,10253,2203,487,48,4231,18952,17296,26311,1818,1696,14
6,75207,2449,0,85075,4991,4527,1740,68,13,1,77,7334,2314,1701,1955,1058,0
7,75208,43011,325800,66230,20680,1422,21931,262,485,26,8260,15925,14246,14102,1329,868,10
8,75209,16249,576300,99003,9825,2394,2615,378,101,16,1222,6697,6956,7523,505,611,14
9,75210,9249,69200,26801,874,5382,2060,20,58,7,1274,3660,3822,3327,274,85,12
10,75211,79173,122100,46226,44630,5263,60742,832,946,64,23666,36755,36391,22054,1025,635,21
11,75212,32257,112500,40024,10209,7640,16656,323,249,48,7295,12349,12535,8911,915,416,9
12,75214,37198,516200,92676,27521,1813,7131,817,412,36,3170,15956,16994,17464,734,802,23
13,75215,20791,82000,31558,1920,11712,2037,77,169,18,1028,7470,7178,8663,874,340,9
14,75216,53307,78100,29448,7670,33305,15207,145,388,76,8804,23730,25686,18256,967,319,18
15,75217,89451,94600,41513,32569,22768,51571,316,1126,67,25878,39974,40350,24111,1175,572,20
16,75218,23012,353700,90522,17707,1587,4657,466,256,39,2114,10476,11189,10654,613,649,17
17,75219,35272,324600,75476,15851,2012,7354,1396,247,30,3180,12433,9691,19816,1328,1568,14
18,75220,45303,296500,47003,24535,1588,33157,395,524,33,16116,22836,19055,14614,1822,1306,8
19,75223,16209,133000,57243,7089,1816,9909,161,176,44,5130,7237,6710,4912,451,187,10
20,75224,36358,147000,43912,15024,9743,20477,610,319,26,9253,16713,17321,11085,612,369,18
21,75225,24020,1217600,163935,20225,141,668,500,100,3,109,9847,11045,9885,1251,1634,7
22,75226,6610,81700,53405,1964,651,1309,195,43,4,786,2048,1458,3693,838,483,4
23,75227,60610,125300,46754,22373,17180,32393,539,618,25,15900,27190,27839,18137,804,437,22
24,75228,71300,165800,46061,34926,15411,32937,2038,915,111,15264,32181,34370,24374,1031,715,23
25,75229,3753,430800,105606,25446,1143,13484,945,338,33,4431,16168,15403,11802,2375,1712,4
26,75230,30695,656600,95119,22102,20149,4738,1148,323,32,1846,12974,13960,14211,1189,1318,11
27,75231,50362,347700,42541,17570,8559,16084,2864,486,81,8784,19251,17801,20145,1601,1551,12
28,75232,31011,133500,43816,4897,19429,7876,82,244,28,4639,13546,15136,10584,354,213,29
29,75233,15362,172300,55393,5730,5128,7586,101,166,7,3333,6846,7197,4877,209,117,23
30,75234,47368,200000,72054,21715,1305,14540,1112,371,35,5112,14071,14723,16978,2259,1624,7
31,75235,24447,192700,50254,10304,2092,11310,1046,196,28,4054,9501,7676,9331,1130,638,8
32,75236,20015,153100,45625,5445,7094,6697,571,169,16,3153,7391,8558,6974,272,251,25
33,75237,18775,136800,30638,1776,14313,2305,95,162,21,1167,7314,9787,8058,805,489,10
34,75238,34171,398200,67789,20575,4969,8966,981,320,18,4406,14988,15495,13560,1182,906,11
35,75240,29221,236500,50767,13554,2731,14264,987,419,26,7452,12648,11648,11111,1630,1453,6
36,75241,31061,96700,35845,1508,24106,2524,75,179,18,1485,12393,14673,10711,426,186,25
37,75243,66812,264800,44542,21883,23040,14190,4368,592,89,7174,26998,28408,28675,2227,1627,12
38,75244,15726,448300,97263,9773,1230,3452,887,165,12,1590,6552,6714,6692,1710,1264,3
39,75246,3420,338500,43153,1471,481,1547,68,36,12,778,1478,1292,1500,331,227,4
40,75247,268,0,18245,265,180,73,7,6,0,19,281,187,189,1811,1230,0
41,75248,39253,419300,86326,27088,2953,4546,1864,352,61,1903,16129,17266,18089,855,1140,21
42,75249,15174,161900,63214,4450,6665,4334,437,165,23,2049,6331,7042,4848,28,56,173
43,75251,4417,0,75769,1658,321,318,257,24,10,129,1041,1290,2832,535,604,5
44,75252,28707,411000,67928,16772,2710,3563,3619,221,47,1457,11904,12208,14426,760,864,18
45,75253,25958,54400,43574,11839,2197,10758,101,363,23,4551,9300,9150,7546,172,110,43
46,75254,26121,288400,56902,13389,4671,8552,1334,273,48,4290,11626,11627,12619,1248,1184,10
47,75287,54424,327500,53575,28759,12206,10093,4026,663,80,5134,23731,25273,28949,601,663,48
