,Zip Code,Grand Total,Year
134,75201,536,Sep 2022
135,75202,83,Sep 2022
136,75203,35,Sep 2022
137,75204,517,Sep 2022
138,75205,540,Sep 2022
139,75206,498,Sep 2022
140,75207,45,Sep 2022
141,75208,279,Sep 2022
142,75209,282,Sep 2022
143,75210,5,Sep 2022
144,75211,83,Sep 2022
145,75212,58,Sep 2022
147,75214,547,Sep 2022
148,75215,51,Sep 2022
149,75216,38,Sep 2022
150,75217,38,Sep 2022
151,75218,264,Sep 2022
152,75219,463,Sep 2022
153,75220,262,Sep 2022
154,75223,42,Sep 2022
155,75224,50,Sep 2022
156,75225,490,Sep 2022
157,75226,47,Sep 2022
158,75227,83,Sep 2022
159,75228,154,Sep 2022
160,75229,432,Sep 2022
161,75230,630,Sep 2022
162,75231,165,Sep 2022
163,75232,38,Sep 2022
164,75233,28,Sep 2022
165,75234,298,Sep 2022
166,75235,510,Sep 2022
167,75236,43,Sep 2022
168,75237,21,Sep 2022
169,75238,164,Sep 2022
170,75240,142,Sep 2022
171,75241,20,Sep 2022
173,75243,224,Sep 2022
174,75244,180,Sep 2022
176,75246,6,Sep 2022
177,75247,17,Sep 2022
178,75248,425,Sep 2022
179,75249,45,Sep 2022
181,75251,35,Sep 2022
182,75252,323,Sep 2022
183,75253,16,Sep 2022
184,75254,165,Sep 2022
191,75287,298,Sep 2022
