,zip_code,year,count
0,25230,2019,1
1,28034,2014,1
2,30157,2020,1
3,75201,2013,1
4,75201,2015,1
5,75201,2016,2
6,75201,2019,6
7,75201,2020,13
8,75201,2021,13
9,75202,2019,1
10,75202,2020,3
11,75202,2021,3
12,75203,2012,1
13,75204,2019,1
14,75204,2020,3
15,75205,2018,1
16,75206,2020,1
17,75206,2021,1
18,75207,2015,1
19,75207,2017,1
20,75207,2019,1
21,75207,2020,1
22,75208,2015,1
23,75209,2015,1
24,75209,2020,2
25,75209,2021,1
26,75211,2012,1
27,75211,2018,1
28,75211,2020,1
29,75214,2016,1
30,75215,2015,1
31,75218,2012,1
32,75218,2018,1
33,75218,2019,1
34,75219,2018,1
35,75219,2020,2
36,75223,2020,1
37,75226,2019,1
38,75231,2015,1
39,75231,2017,1
40,75231,2018,1
41,75231,2020,1
42,75234,2016,1
43,75234,2019,1
44,75235,2017,1
45,75235,2018,4
46,75235,2019,1
47,75235,2020,5
48,75235,2021,8
49,75237,2010,2
50,75240,2017,1
51,75240,2018,1
52,75240,2019,1
53,75240,2020,1
54,75243,2015,1
55,75246,2019,1
56,75248,2017,1
57,75248,2018,1
58,75251,2020,1
59,75253,2012,1
60,75254,2015,1
61,75254,2019,1
62,75254,2020,3
63,75287,2020,1
64,85248,2019,1
65,97338,2019,1
66,30132,2022,2
67,75201,2021,11
68,75201,2022,5
69,75202,2021,2
70,75202,2022,1
71,75203,2022,3
72,75204,2021,5
73,75205,2021,3
74,75206,2021,2
75,75207,2022,1
76,75208,2022,1
77,75209,2021,1
78,75212,2021,1
79,75216,2021,1
80,75218,2021,1
81,75218,2022,1
82,75219,2021,2
83,75219,2022,1
84,75225,2022,1
85,75226,2021,2
86,75231,2021,3
87,75231,2022,4
88,75232,2022,1
89,75235,2021,1
90,75235,2022,2
91,75238,2022,1
92,75240,2022,2
93,75244,2021,1
94,75252,2021,2
95,75253,2021,1
96,75254,2021,4
97,75254,2022,1
98,75287,2022,3
99,97338,2021,1
