,Zip Code,City,State,Counties,Multi County,City Alias(es),Area Code,City Type,Classification,Time Zone,Observes Daylight Saving,Latitude ,Longitude,Elevation (ft),State FIPS,County FIPS,Region,Division,Intro Date,Current Population,2010 Population,Households Per ZIP code,Average House Value ($),Average Income Per Household  ($),Persons Per Household,White Population,Black Population,Hispanic Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Male Population,Female Population,Median Age (years),Male Median Age (years),Female Median Age (years),# Residential Mailboxes,# Business Mailboxes,Total Delivery Receptacles,Number of Businesses,1st Quarter Payroll ($),Annual Payroll ($),# of Employees,Water Area (sq mi),Land Area (sq mi),113th Congressional District,113th Congressional Land Area (sq mi),Single Family Delivery Units,Multi Family Delivery Units,# Residential Mailboxes.1,# Business Mailboxes.1,Total Delivery Receptacles.1,Total Beneficiaries (2019),Retired Workers (2019),Disabled Workers (2019),Widow(er)s and Parents (2019),Spouses (2019),Children (2019),65+ (2019),Monthly Benefits - All (2019) ($),Monthly Benefits - Retired Workers (2019) ($),Monthy Benefits - Widow(ers) (2019) ($),CBSA,CBSA Name,CBSA Type,CBSA Division,CBSA Division Name,CBSA Population,CBSA Division Population,MSA,MSA Name,PMSA,PMSA Name,City State Key,Preferred Last Line Key
0,75201,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 945",P [Post Office],Non-Unique,GMT,Yes,32.787706,-96.79985,455,48,113,South,West South Central,< 2004 - 2010," 18,460 "," 9,409 "," 5,821 "," 630,100 "," 94,872 ",1.48," 7,102 "," 1,627 "," 1,043 ", 445 , 110 ,16, 328 ," 5,070 "," 4,339 ",31.1,32.9,29.3," 12,473 "," 2,153 "," 22,166 "," 2,455 "," 2,807,113,000 "," 9,499,687,000 "," 80,663 ",0.0,1.376,30|32,356.21|185.66 , 53 ," 11,953 "," 12,473 "," 2,153 "," 22,166 "," 1,100 ", 745 , 200 ,50,55,50,775,1862000,1443000,91000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
1,75202,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469, 972, 946",P [Post Office],Non-Unique,GMT,Yes,32.77991,-96.802744,427,48,113,South,West South Central,< 2004 - 2010," 2,931 "," 1,666 "," 1,150 "," 269,200 "," 92,500 ",1.43," 1,293 ", 278 , 255 , 64 , 31 ,4, 55 , 927 , 739 ,31.4,32.7,29.9," 2,050 ", 658 ," 3,102 ", 585 ," 898,952,000 "," 2,318,569,000 "," 19,160 ",0.0,0.668,30,356.27, 2 ," 2,048 "," 2,050 ", 658 ," 3,102 ", 145 , 100 , 20 ,5,5,15,110,254000,197000,9000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
2,75203,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.744837,-96.795597,423,48,113,South,West South Central,< 2004 - 2010," 18,211 "," 15,721 "," 5,487 "," 108,600 "," 37,418 ",2.85," 4,934 "," 5,586 "," 9,359 ", 76 , 236 ,40," 5,344 "," 8,186 "," 7,535 ",29.7,29.7,29.7," 6,390 ", 545 ," 6,909 ", 245 ," 86,403,000 "," 378,405,000 "," 6,406 ",0.025,4.789,30|33,356.27|211.94," 3,185 "," 2,925 "," 6,390 ", 545 ," 6,909 "," 1,855 "," 1,120 ", 405 ,125,50,155,1180,1886000,1203000,138000,19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
3,75204,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469, 945",P [Post Office],Non-Unique,GMT,Yes,32.801944,-96.787577,496,48,113,South,West South Central,< 2004 - 2010," 45,140 "," 26,279 "," 14,547 "," 378,600 "," 81,914 ",1.76," 17,791 "," 3,775 "," 7,292 "," 1,745 ", 323 ,44," 3,358 "," 13,656 "," 12,623 ",29.9,31.0,28.8," 25,648 "," 1,232 "," 27,049 "," 1,383 "," 528,353,000 "," 1,917,640,000 "," 25,741 ",0.0,2.559,30|32,356.27|185.66," 1,776 "," 21,655 "," 25,648 "," 1,232 "," 27,049 "," 1,760 "," 1,185 ", 305 ,85,75,110,"1,255",2503000,"1,915,000","107,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
4,75205,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 972, 469",P [Post Office],Non-Unique,GMT,Yes,32.833389,-96.793911,532,48,113,South,West South Central,< 2004 - 2010," 26,531 "," 23,061 "," 9,016 "," 1,212,700 "," 159,076 ",2.29," 21,497 ", 384 ," 1,385 ", 937 , 163 ,14, 444 ," 10,981 "," 12,080 ",33.0,33.1,32.9," 11,586 ", 865 ," 14,584 "," 1,101 "," 171,241,000 "," 643,296,000 "," 11,207 ",0.003,4.37,32,185.66," 6,169 "," 5,143 "," 11,586 ", 865 ," 14,584 "," 2,645 "," 1,930 ", 80 ,180,350,105,"2,405","5,221,000","4,182,000","370,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
5,75206,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.833452,-96.771706,589,48,113,South,West South Central,< 2004 - 2010," 47,359 "," 36,248 "," 20,176 "," 433,100 "," 75,569 ",1.8," 27,808 "," 2,432 "," 10,253 "," 2,203 ", 487 ,48," 4,231 "," 18,952 "," 17,296 ",30.9,31.9,30.5," 26,311 "," 1,818 "," 28,301 "," 1,696 "," 525,800,000 "," 1,974,995,000 "," 27,979 ",0.017,4.235,32,185.66," 6,721 "," 18,009 "," 26,311 "," 1,818 "," 28,301 "," 2,840 "," 2,125 ", 290 ,205,140,80,"2,365","4,370,000","3,472,000","326,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
6,75207,Dallas,Texas,"Dallas, TX",No,Dallas,"469, 972, 214, 945",P [Post Office],Non-Unique,GMT,Yes,32.781467,-96.821474,400,48,113,South,West South Central,< 2004 - 2010," 2,449 "," 9,648 ", 585 , -   ," 85,075 ",1.44," 4,991 "," 4,527 "," 1,740 ", 68 , 13 ,1, 77 ," 7,334 "," 2,314 ",32.3,31.9,33.4," 1,701 "," 1,955 "," 5,068 "," 1,058 "," 305,977,000 "," 1,229,495,000 "," 20,125 ",0.041,3.859,30,356.27, 32 ," 1,669 "," 1,701 "," 1,955 "," 5,068 ", 120 , 90 , 15 ,5,5,5,100,"223,000","176,000","14,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
7,75208,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.751471,-96.838668,533,48,113,South,West South Central,< 2004 - 2010," 43,011 "," 30,171 "," 9,807 "," 325,800 "," 66,230 ",3.05," 20,680 "," 1,422 "," 21,931 ", 262 , 485 ,26," 8,260 "," 15,925 "," 14,246 ",32.8,32.9,32.7," 14,102 "," 1,329 "," 15,831 ", 868 ," 95,537,000 "," 403,921,000 "," 9,559 ",0.005,6.119,30|33,356.27|211.94," 8,399 "," 4,868 "," 14,102 "," 1,329 "," 15,831 "," 3,825 "," 2,695 ", 430 ,225,240,235,"2,965","4,674,000","3,553,000","264,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
8,75209,Dallas,Texas,"Dallas, TX",No,Dallas,"214, 469",P [Post Office],Non-Unique,GMT,Yes,32.844254,-96.833186,500,48,113,South,West South Central,< 2004 - 2010," 16,249 "," 13,653 "," 6,282 "," 576,300 "," 99,003 ",2.16," 9,825 "," 2,394 "," 2,615 ", 378 , 101 ,16," 1,222 "," 6,697 "," 6,956 ",39.5,39.3,39.8," 7,523 ", 505 ," 8,923 ", 611 ," 113,243,000 "," 446,766,000 "," 8,433 ",0.003,3.5,24|30|32,262.76|356.21|185.66," 5,135 "," 2,107 "," 7,523 ", 505 ," 8,923 "," 2,180 "," 1,685 ", 145 ,145,140,65,"1,895","3,750,000","3,085,000","247,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
9,75210,Dallas,Texas,"Dallas, TX",No,Dallas,214,P [Post Office],Non-Unique,GMT,Yes,32.764515,-96.736787,412,48,113,South,West South Central,< 2004 - 2010," 9,249 "," 7,482 "," 2,680 "," 69,200 "," 26,801 ",2.78, 874 ," 5,382 "," 2,060 ", 20 , 58 ,7," 1,274 "," 3,660 "," 3,822 ",31.9,31.3,32.6," 3,327 ", 274 ," 3,878 ", 85 ," 7,578,000 "," 28,987,000 ", 905 ,0.143,2.285,30,356.27," 2,044 "," 1,047 "," 3,327 ", 274 ," 3,878 "," 1,160 ", 635 , 295 ,85,10,135,655,"1,047,000","631,000","75,000",19100,"Dallas-Fort Worth-Arlington, TX",Metro,19124,"Dallas-Plano-Irving, TX",6371773,4230520,1922,"Dallas-Fort Worth, TX CMSA",1920,"Dallas, TX PMSA",W23428,W23428
