Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
LPG,AmeriGas,700 County Highway H,Route 12 exit,Elkhorn,WI,53121,,262-723-7410,T,2022-03-01,TEMPORARILY UNAVAILABLE (Public),8am-3pm M-F,Cash M V,,,,,,,,,,200-9,42.660919,-88.522923,2021-11-04,13050,2022-02-10 19:42:29 UTC,P,,,1999-05-11,,,false,,,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Centergas Fuels,5901 N Western St,0.5 mile north of Loop 335,Amarillo,TX,79124,,806-372-4400,E,,Public,7:30am-5pm M-F; must have state decal,A Cash Checks D M V,,,,,,,,,,200-9,35.267353,-101.885391,2022-06-14,13298,2022-06-14 16:26:13 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Northeastern Supply Co,441 Main St,1.5 miles north on SR 164 from Junction of US 1.,Caribou,ME,04736,,207-496-3011,E,,Public - Call ahead,7:30am-5pm M-F,Cash M V,,,,,,,,,,200-9,46.842162,-68.009825,2022-03-07,13343,2022-03-07 19:49:53 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Hocon Gas Inc,33 Rockland Rd,"I-95 exit 15, left at bottom of ramp, take right at fourth light onto MLK Dr, 3 streets on right past UPS Distribution Center",South Norwalk,CT,06854,,203-854-1227  800-801-3835,E,,Public - Call ahead,"8am-4:30pm M-F, 8am-12pm Sat",A Cash Checks D M V,,,,,,,,,,200-9,41.082789,-73.429554,2022-03-07,13366,2022-03-07 19:49:53 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Awisco,24 Lakeside Ave,At Standish,West Orange,NJ,07052,,973-736-0200,E,,Public,"7am-4:30pm M-F, 8am-12pm Sat",A Cash D M V,,,,,,,,,,200-8,40.782618,-74.232109,2022-11-10,13367,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Modern Propane Gas Co,199 Route 46 W,1 mile west of Teterboro Airport,Lodi,NJ,07644,,973-778-0812,E,,Public,"8am-8pm M-F, 8am-5pm Sat-Sun",A Cash D M V,,,,,,,,,,200-9,40.875277,-74.070034,2022-11-10,13371,2022-11-10 16:40:31 UTC,P,,,1999-07-08,,,false,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Combined Energy Services,276 E Broadway,Located at the corner of Pleasantview Ave,Monticello,NY,12701,,845-794-1210  845-794-6226,E,,Public,8am-5pm daily,Cash Checks D M V,,,,,,,,,,200-9,41.651953,-74.672938,2022-04-06,13401,2022-04-06 14:08:04 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME"", ""QUICK_CONNECT""]",,,,,,,,false
LPG,Irish Propane,70 Katherine St,At Bailey and Clinton,Buffalo,NY,14210,,716-852-3335,E,,Public,8am-4:45pm M-F,A Cash D M V,,,,,,,,,,GPS,42.8601082048398,-78.85922572883605,2022-03-07,13444,2022-03-07 19:49:53 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Koppy's Propane Inc,8635 State Route 209,"Exit 33 from Route 81, left at stop sign and south on 209 for about 10 miles",Williamstown,PA,17098,,717-647-7111,E,,Public,"8am-5pm M-F, 8am-12pm Sat",Cash Checks D M V,,,,,,,,,,200-9,40.572305,-76.647804,2021-09-10,13472,2022-11-14 13:10:04 UTC,P,,,1999-07-08,,,true,,,US,,,,Public,,public,,,FUEL_RESELLER,,,,,,,,,"[""ACME""]",,,,,,,,false
LPG,Tri-Gas,3941 Federalsburg Hwy,"Take Route 313 N one mile from Federalsburg, on right-hand side",Federalsburg,MD,21632,,410-754-2000,E,,Public - Call ahead,7:30am-4:30pm M-F; must call station to set up account,A Cash Checks D M V,,,,,,,,,,GPS,38.71499248848763,-75.7876069656067,2022-10-11,13510,2022-10-11 18:56:12 UTC,P,,,1999-07-08,,,false,,,US,,,,Public - Appeler à l'avance,,public,CALL,,FUEL_RESELLER,,,,,,,,,,,,,,,,,false
