,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
12,ELEC,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,,Dallas,TX,75237,,972-709-2000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,32.646784,-96.863492,2022-03-07,39718,2022-03-07 19:49:53 UTC,P,,,2010-12-30,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
56,ELEC,AT&T,208 S Akard St,,Dallas,TX,75201,,,E,,Private,AT&T fleet vehicle use only,,,,,,4.0,,,Non-Networked,,GPS,32.779791,-96.7990454,2022-01-10,40376,2022-02-10 19:42:29 UTC,P,,,2013-06-01,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,
66,ELEC,City of Dallas,10011 Log Cabin Rd,,Dallas,TX,75253,,,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,32.653718,-96.628439,2021-06-07,47511,2022-02-10 19:42:29 UTC,LG,,,2012-03-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,,,,,,,,,,,
67,ELEC,City of Dallas,1020 Sargent Rd,,Dallas,TX,75203,,,E,,Private,24 hours daily for city employees,,,,,,5.0,,,Non-Networked,,200-8,32.74458,-96.781018,2022-05-05,47512,2022-05-05 20:22:04 UTC,LG,,,2012-03-31,,,,,J1772,US,,,,Privé,,private,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,
113,ELEC,Clay Cooley Nissan,39690 Lyndon B Johnson Fwy,,Dallas,TX,75237,,972-709-2000,E,,Private,,,,,,,1.0,,,Non-Networked,,200-9,32.646784,-96.863492,2022-03-07,48326,2022-03-07 19:49:53 UTC,P,,,2010-12-30,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,
115,ELEC,Oncor Electric,1201 S Sylvania Dr,,Dallas,TX,75218,,,E,,Private,Employee and visitor use only,,,,,,1.0,,,Non-Networked,,GPS,32.84368515,-96.69669,2021-12-09,49393,2022-05-17 12:36:06 UTC,P,,,2012-08-31,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
119,ELEC,Oncor Electric,2233-B Mountain Creek Pkwy,,Dallas,TX,75211,,,E,,Private,Employee and visitor use only,,,,,,1.0,,,Non-Networked,,GPS,32.72068405,-96.93279,2021-08-04,49593,2022-05-17 12:36:06 UTC,P,,,2012-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,
133,ELEC,BMW OF DALLAS STATION 1CT4013,6200 Lemmon Ave,,Dallas,TX,75209,,888-758-4389,T,2022-09-09,TEMPORARILY UNAVAILABLE (Public),24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.834169,-96.829381,2022-10-30,60219,2022-10-30 00:53:09 UTC,,,,2015-10-02,,,,,J1772,US,,,,TEMPORAIREMENT SUSPENDU (Public),,public,,,,,,,,,,,,,,,,,,,,
183,ELEC,WINDSOR TC MTC,3663 Cedar Springs Rd,,Dallas,TX,75219,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.807928,-96.807586,2022-10-30,92385,2022-10-30 00:52:39 UTC,,,,2018-03-07,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
185,ELEC,DAL PARKING DAL GARAGE A4,Parking Garage A,,Dallas,TX,75235,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.843451,-96.84941,2022-10-30,94545,2022-10-30 00:54:17 UTC,,,,2018-03-29,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
