zip_code,population,house_value,household_income,residential_business_ratio,ev_registration_count,evcs_count,Hispanic Population,Black Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Female Population,Number of Businesses,shops,parking lots,Gas Stations
75201,18460,630100,94872,5,536,4,1043,1627,445,110,16,328,4339,2455,0.0,252.0,1
75202,2931,269200,92500,3,83,1,255,278,64,31,4,55,739,585,0.0,91.0,1
75203,18211,108600,37418,11,35,1,9359,5586,76,236,40,5344,7535,245,0.0,17.0,4
75204,45140,378600,81914,20,517,0,7292,3775,1745,323,44,3358,12623,1383,7.0,220.0,7
75205,26531,1212700,159076,13,540,1,1385,384,937,163,14,444,12080,1101,0.0,136.0,2
75206,47359,433100,75569,14,498,0,10253,2432,2203,487,48,4231,17296,1696,5.0,77.0,9
75207,2449,637640,85075,0,45,2,1740,4527,68,13,1,77,2314,1058,0.0,75.0,9
75208,43011,325800,66230,10,279,1,21931,1422,262,485,26,8260,14246,868,2.0,28.0,5
75209,16249,576300,99003,14,282,1,2615,2394,378,101,16,1222,6956,611,1.0,18.0,0
75210,9249,69200,26801,12,5,0,2060,5382,20,58,7,1274,3822,85,1.0,33.0,1
75211,79173,122100,46226,21,83,2,60742,5263,832,946,64,23666,36391,635,4.0,22.0,12
75212,32257,112500,40024,9,58,0,16656,7640,323,249,48,7295,12535,416,2.0,75.0,5
75214,37198,516200,92676,23,547,1,7131,1813,817,412,36,3170,16994,802,3.0,40.0,4
75215,20791,82000,31558,9,51,1,2037,11712,77,169,18,1028,7178,340,3.0,39.0,4
75216,53307,78100,29448,18,38,0,15207,33305,145,388,76,8804,25686,319,4.0,35.0,6
75217,89451,94600,41513,20,38,0,51571,22768,316,1126,67,25878,40350,572,4.0,21.0,20
75218,23012,353700,90522,17,264,2,4657,1587,466,256,39,2114,11189,649,1.0,16.0,5
75219,35272,324600,75476,14,463,1,7354,2012,1396,247,30,3180,9691,1568,1.0,282.0,2
75220,45303,296500,47003,8,262,0,33157,1588,395,524,33,16116,19055,1306,8.0,69.0,15
75223,16209,133000,57243,10,42,0,9909,1816,161,176,44,5130,6710,187,0.0,15.0,8
75224,36358,147000,43912,18,50,0,20477,9743,610,319,26,9253,17321,369,2.0,11.0,6
75225,24020,1217600,163935,7,490,0,668,141,500,100,3,109,11045,1634,2.0,97.0,0
75226,6610,81700,53405,4,47,0,1309,651,195,43,4,786,1458,483,0.0,107.0,3
75227,60610,125300,46754,22,83,0,32393,17180,539,618,25,15900,27839,437,3.0,12.0,6
75228,71300,165800,46061,23,154,0,32937,15411,2038,915,111,15264,34370,715,3.0,6.0,12
75229,3753,430800,105606,4,432,0,13484,1143,945,338,33,4431,15403,1712,2.0,46.0,12
75230,30695,656600,95119,11,630,0,4738,20149,1148,323,32,1846,13960,1318,4.0,72.0,3
75231,50362,347700,42541,12,165,3,16084,8559,2864,486,81,8784,17801,1551,2.0,84.0,9
75232,31011,133500,43816,29,38,0,7876,19429,82,244,28,4639,15136,213,3.0,6.0,18
75233,15362,172300,55393,23,28,0,7586,5128,101,166,7,3333,7197,117,0.0,6.0,3
75234,47368,200000,72054,7,298,1,14540,1305,1112,371,35,5112,14723,1624,0.0,118.0,2
75235,24447,192700,50254,8,510,6,11310,2092,1046,196,28,4054,7676,638,1.0,138.0,9
75236,20015,153100,45625,25,43,0,6697,7094,571,169,16,3153,8558,251,0.0,10.0,3
75237,18775,136800,30638,10,21,2,2305,14313,95,162,21,1167,9787,489,1.0,37.0,7
75238,34171,398200,67789,11,164,0,8966,4969,981,320,18,4406,15495,906,2.0,14.0,8
75240,29221,236500,50767,6,142,2,14264,2731,987,419,26,7452,11648,1453,6.0,79.0,6
75241,31061,96700,35845,25,20,0,2524,24106,75,179,18,1485,14673,186,1.0,29.0,12
75243,66812,264800,44542,12,224,1,14190,23040,4368,592,89,7174,28408,1627,4.0,51.0,12
75244,15726,448300,97263,3,180,0,3452,1230,887,165,12,1590,6714,1264,3.0,36.0,4
75246,3420,338500,43153,4,6,0,1547,481,68,36,12,778,1292,227,1.0,33.0,1
75247,268,136747,18245,0,17,0,73,180,7,6,0,19,187,1230,0.0,39.0,5
75248,39253,419300,86326,21,425,1,4546,2953,1864,352,61,1903,17266,1140,2.0,42.0,6
75249,15174,161900,63214,173,45,0,4334,6665,437,165,23,2049,7042,56,0.0,12.0,1
75251,4417,567891,75769,5,35,0,318,321,257,24,10,129,1290,604,1.0,40.0,2
75252,28707,411000,67928,18,323,0,3563,2710,3619,221,47,1457,12208,864,2.0,90.0,7
75253,25958,54400,43574,43,16,1,10758,2197,101,363,23,4551,9150,110,1.0,0.0,6
75254,26121,288400,56902,10,165,1,8552,4671,1334,273,48,4290,11627,1184,3.0,77.0,7
75287,54424,327500,53575,48,298,0,10093,12206,4026,663,80,5134,25273,663,3.0,80.0,17
