,zip_code,population,house_value,household_income,residential_business_ratio,ev_registration_count,evcs_count,White Population,Hispanic Population,Black Population,Asian Population,American Indian Population,Hawaiian Population,Other Population,Male Population,Female Population,# Residential Mailboxes,# Business Mailboxes,Number of Businesses
0,75201,18460,630100,94872,5,536,4,7102,1043,1627,445,110,16,328,5070,4339,12473,2153,2455
1,75202,2931,269200,92500,3,83,1,1293,255,278,64,31,4,55,927,739,2050,658,585
2,75203,18211,108600,37418,11,35,1,4934,9359,5586,76,236,40,5344,8186,7535,6390,545,245
3,75204,45140,378600,81914,20,517,0,17791,7292,3775,1745,323,44,3358,13656,12623,25648,1232,1383
4,75205,26531,1212700,159076,13,540,1,21497,1385,384,937,163,14,444,10981,12080,11586,865,1101
5,75206,47359,433100,75569,14,498,0,27808,10253,2432,2203,487,48,4231,18952,17296,26311,1818,1696
6,75207,2449,637640,85075,0,45,2,4991,1740,4527,68,13,1,77,7334,2314,1701,1955,1058
7,75208,43011,325800,66230,10,279,1,20680,21931,1422,262,485,26,8260,15925,14246,14102,1329,868
8,75209,16249,576300,99003,14,282,1,9825,2615,2394,378,101,16,1222,6697,6956,7523,505,611
9,75210,9249,69200,26801,12,5,0,874,2060,5382,20,58,7,1274,3660,3822,3327,274,85
10,75211,79173,122100,46226,21,83,2,44630,60742,5263,832,946,64,23666,36755,36391,22054,1025,635
11,75212,32257,112500,40024,9,58,0,10209,16656,7640,323,249,48,7295,12349,12535,8911,915,416
12,75214,37198,516200,92676,23,547,1,27521,7131,1813,817,412,36,3170,15956,16994,17464,734,802
13,75215,20791,82000,31558,9,51,1,1920,2037,11712,77,169,18,1028,7470,7178,8663,874,340
14,75216,53307,78100,29448,18,38,0,7670,15207,33305,145,388,76,8804,23730,25686,18256,967,319
15,75217,89451,94600,41513,20,38,0,32569,51571,22768,316,1126,67,25878,39974,40350,24111,1175,572
16,75218,23012,353700,90522,17,264,2,17707,4657,1587,466,256,39,2114,10476,11189,10654,613,649
17,75219,35272,324600,75476,14,463,1,15851,7354,2012,1396,247,30,3180,12433,9691,19816,1328,1568
18,75220,45303,296500,47003,8,262,0,24535,33157,1588,395,524,33,16116,22836,19055,14614,1822,1306
19,75223,16209,133000,57243,10,42,0,7089,9909,1816,161,176,44,5130,7237,6710,4912,451,187
20,75224,36358,147000,43912,18,50,0,15024,20477,9743,610,319,26,9253,16713,17321,11085,612,369
21,75225,24020,1217600,163935,7,490,0,20225,668,141,500,100,3,109,9847,11045,9885,1251,1634
22,75226,6610,81700,53405,4,47,0,1964,1309,651,195,43,4,786,2048,1458,3693,838,483
23,75227,60610,125300,46754,22,83,0,22373,32393,17180,539,618,25,15900,27190,27839,18137,804,437
24,75228,71300,165800,46061,23,154,0,34926,32937,15411,2038,915,111,15264,32181,34370,24374,1031,715
25,75229,3753,430800,105606,4,432,0,25446,13484,1143,945,338,33,4431,16168,15403,11802,2375,1712
26,75230,30695,656600,95119,11,630,0,22102,4738,20149,1148,323,32,1846,12974,13960,14211,1189,1318
27,75231,50362,347700,42541,12,165,3,17570,16084,8559,2864,486,81,8784,19251,17801,20145,1601,1551
28,75232,31011,133500,43816,29,38,0,4897,7876,19429,82,244,28,4639,13546,15136,10584,354,213
29,75233,15362,172300,55393,23,28,0,5730,7586,5128,101,166,7,3333,6846,7197,4877,209,117
30,75234,47368,200000,72054,7,298,1,21715,14540,1305,1112,371,35,5112,14071,14723,16978,2259,1624
31,75235,24447,192700,50254,8,510,6,10304,11310,2092,1046,196,28,4054,9501,7676,9331,1130,638
32,75236,20015,153100,45625,25,43,0,5445,6697,7094,571,169,16,3153,7391,8558,6974,272,251
33,75237,18775,136800,30638,10,21,2,1776,2305,14313,95,162,21,1167,7314,9787,8058,805,489
34,75238,34171,398200,67789,11,164,0,20575,8966,4969,981,320,18,4406,14988,15495,13560,1182,906
35,75240,29221,236500,50767,6,142,2,13554,14264,2731,987,419,26,7452,12648,11648,11111,1630,1453
36,75241,31061,96700,35845,25,20,0,1508,2524,24106,75,179,18,1485,12393,14673,10711,426,186
37,75243,66812,264800,44542,12,224,1,21883,14190,23040,4368,592,89,7174,26998,28408,28675,2227,1627
38,75244,15726,448300,97263,3,180,0,9773,3452,1230,887,165,12,1590,6552,6714,6692,1710,1264
39,75246,3420,338500,43153,4,6,0,1471,1547,481,68,36,12,778,1478,1292,1500,331,227
40,75247,268,136747,18245,0,17,0,265,73,180,7,6,0,19,281,187,189,1811,1230
41,75248,39253,419300,86326,21,425,1,27088,4546,2953,1864,352,61,1903,16129,17266,18089,855,1140
42,75249,15174,161900,63214,173,45,0,4450,4334,6665,437,165,23,2049,6331,7042,4848,28,56
43,75251,4417,567891,75769,5,35,0,1658,318,321,257,24,10,129,1041,1290,2832,535,604
44,75252,28707,411000,67928,18,323,0,16772,3563,2710,3619,221,47,1457,11904,12208,14426,760,864
45,75253,25958,54400,43574,43,16,1,11839,10758,2197,101,363,23,4551,9300,9150,7546,172,110
46,75254,26121,288400,56902,10,165,1,13389,8552,4671,1334,273,48,4290,11626,11627,12619,1248,1184
47,75287,54424,327500,53575,48,298,0,28759,10093,12206,4026,663,80,5134,23731,25273,28949,601,663
